date, files, size, loc, avg-anomaly, avg-score, anomalies, expressions
2001-07-27, 85, 308033, 9552, 0.0, 1.583, 0, 3
2002-06-25, 200, 671029, 20335, 1016.159, 94.632, 23, 530
2003-05-24, 362, 1703028, 54591, 1018.762, 43.716, 47, 2495
2004-04-23, 389, 1942408, 62606, 1018.741, 39.594, 50, 2996
2005-03-22, 550, 3491056, 111222, 1019.331, 30.618, 73, 5868
2006-02-18, 767, 5036958, 164575, 1021.213, 29.744, 110, 9177
2007-01-17, 819, 5202041, 169797, 1020.891, 30.086, 114, 9386
2007-12-17, 797, 4548911, 145249, 1020.367, 33.274, 105, 7693
2008-11-14, 1152, 7826547, 248048, 1027.021, 32.607, 186, 13929
2009-10-13, 882, 4305473, 136646, 1020.464, 35.141, 104, 7182
2010-09-11, 1158, 6964211, 214254, 1032.936, 30.863, 148, 12274
2011-08-11, 1189, 7005629, 215544, 1032.936, 30.844, 148, 12282
2012-07-09, 1092, 7080617, 234136, 1034.244, 33.28, 205, 15638
2013-06-07, 1161, 7179162, 237115, 1034.244, 33.354, 205, 15596
2014-05-06, 1265, 7521224, 251102, 1033.164, 33.206, 222, 17066
2015-04-05, 1607, 10157815, 334434, 1041.032, 34.77, 300, 21758
2016-03-03, 1684, 10586352, 348362, 1041.505, 33.505, 295, 22400
2017-01-30, 1895, 12271782, 406585, 1048.319, 32.086, 327, 26317
2017-12-29, 2003, 12768549, 423685, 1047.294, 31.867, 340, 27487
2018-11-28, 2102, 13320062, 442106, 1046.386, 31.325, 350, 28807
2019-10-27, 2302, 14544304, 472761, 1046.907, 33.122, 407, 31331
2020-09-24, 2475, 16195141, 527560, 1050.188, 32.241, 435, 34608
2022-07-23, 2805, 18360680, 585745, 1048.938, 33.649, 495, 37314
