date, files, size, loc, avg-anomaly, avg-score, anomalies, expressions
2001-04-30, 412, 2457054, 83189, 1022.681, 26.532, 35, 3316
2002-04-01, 474, 2975798, 99415, 1021.17, 21.812, 27, 3548
2003-03-04, 553, 3492346, 113744, 1090.714, 21.953, 29, 4050
2004-02-02, 636, 4096536, 127693, 1093.704, 20.301, 28, 4433
2005-01-06, 656, 4283115, 131923, 1086.041, 21.823, 32, 4611
2005-12-09, 669, 4448042, 136242, 1103.765, 23.755, 37, 4815
2006-08-22, 670, 4480554, 137174, 1099.087, 24.555, 39, 4840
2007-09-02, 674, 4510033, 137955, 1099.087, 24.424, 39, 4870
2008-08-31, 677, 4552796, 139343, 1099.087, 24.219, 39, 4929
2009-08-19, 684, 4657549, 142700, 1047.613, 22.739, 38, 5037
2010-07-20, 707, 4953624, 151217, 1046.465, 22.316, 39, 5400
2011-06-22, 714, 5169116, 157634, 1046.073, 22.082, 40, 5700
2012-05-25, 775, 5790558, 175922, 1042.436, 22.214, 45, 6394
2013-04-28, 786, 5895416, 179369, 1040.585, 22.734, 48, 6594
2014-03-30, 767, 5960160, 173933, 1040.773, 22.753, 48, 6568
2015-03-02, 891, 6514330, 199950, 1142.916, 35.572, 121, 9418
2016-01-21, 919, 6572658, 202153, 1141.816, 35.436, 122, 9535
2017-01-04, 930, 6697853, 205069, 1140.752, 35.506, 123, 9581
2017-12-07, 967, 6885895, 209485, 1142.788, 34.848, 121, 9651
2018-11-10, 990, 6955991, 212081, 1137.737, 35.506, 126, 9782
2019-10-13, 1006, 7211855, 216800, 1137.737, 35.349, 126, 9873
2020-09-13, 1083, 7611850, 229121, 1124.344, 36.25, 143, 10738
2022-07-21, 1152, 7997878, 241345, 1130.401, 37.812, 163, 11690
