date, files, size, loc, avg-anomaly, avg-score, anomalies, expressions
2005-04-07, 9, 23825, 1036, 0.0, 4.524, 0, 108
2005-08-11, 116, 553325, 23637, 1013.222, 26.414, 32, 2920
2005-12-15, 136, 795532, 34047, 1059.135, 26.408, 44, 4219
2006-04-20, 168, 1073569, 45495, 1050.878, 26.451, 58, 5652
2006-08-24, 194, 1346971, 56504, 1051.986, 28.559, 81, 7208
2006-12-28, 225, 1620541, 67008, 1035.48, 28.457, 98, 8644
2007-05-03, 252, 1928976, 79294, 1060.764, 32.391, 133, 10289
2007-09-06, 259, 2031217, 83291, 1071.858, 32.763, 141, 10875
2008-05-16, 291, 2332154, 94381, 1047.709, 31.922, 154, 12011
2008-09-19, 315, 2761104, 109827, 1044.452, 31.896, 171, 13377
2009-01-23, 322, 2834189, 112182, 1043.399, 32.401, 178, 13664
2009-05-29, 331, 2968922, 116837, 1047.016, 33.335, 189, 14090
2010-02-05, 367, 3406633, 131739, 1046.332, 32.136, 197, 15330
2010-06-12, 377, 3649301, 140519, 1048.232, 32.944, 216, 16330
2010-10-16, 402, 3953571, 151354, 1060.005, 32.804, 229, 17734
2011-02-19, 413, 4092707, 156230, 1059.096, 32.625, 234, 18234
2011-06-25, 402, 3953564, 151354, 1060.005, 32.804, 229, 17734
2011-10-28, 435, 4384528, 166707, 1060.983, 32.839, 249, 19297
2012-03-03, 441, 4493226, 170984, 1059.612, 32.969, 258, 19847
2012-07-07, 444, 4484685, 170779, 1059.968, 32.873, 256, 19777
2012-11-11, 460, 4722428, 179151, 1058.423, 32.464, 264, 20651
2013-03-17, 455, 4657556, 176795, 1058.802, 32.584, 262, 20413
2013-11-23, 481, 5119168, 193130, 1068.25, 31.791, 272, 22078
2014-03-30, 481, 5170749, 194918, 1067.065, 32.04, 278, 22336
2014-08-03, 501, 5418208, 204189, 1065.421, 32.096, 287, 22970
2014-12-07, 506, 5497399, 207206, 1065.217, 31.805, 288, 23278
2015-04-13, 500, 5395263, 203439, 1065.217, 32.19, 288, 22950
2015-08-17, 509, 5663402, 213130, 1064.45, 31.608, 293, 23857
2015-12-21, 527, 5908360, 221617, 1064.52, 30.942, 294, 24569
2016-04-25, 528, 5979383, 224081, 1068.083, 30.732, 293, 24768
2016-08-29, 541, 6130231, 229471, 1064.633, 30.185, 293, 25258
2017-01-02, 547, 6302215, 235697, 1060.146, 30.019, 299, 25839
2017-05-08, 548, 6389493, 238775, 1059.975, 29.778, 300, 26192
2017-09-12, 572, 6740001, 249746, 1060.698, 29.095, 296, 26887
2018-01-16, 595, 6951443, 257658, 1061.838, 28.12, 289, 27473
2018-05-22, 595, 7039579, 260552, 1061.442, 28.035, 292, 27851
2018-09-25, 648, 7565378, 279742, 1053.814, 27.089, 298, 29544
2019-01-29, 655, 7744444, 285915, 1052.814, 27.093, 305, 30200
2019-06-04, 664, 7828212, 288827, 1052.57, 27.047, 307, 30471
2019-10-08, 689, 8176592, 301368, 1051.614, 27.171, 318, 31356
2020-02-12, 696, 8471899, 311140, 1053.271, 27.686, 332, 32103
2020-06-17, 710, 8654481, 317549, 1052.659, 27.796, 340, 32676
2020-10-21, 703, 8687042, 318603, 1055.779, 27.753, 339, 32747
2021-02-24, 714, 8840180, 324255, 1056.003, 27.262, 337, 33308
2021-06-30, 732, 9290604, 339934, 1055.269, 26.807, 343, 34559
2021-11-03, 744, 9492068, 346846, 1052.287, 26.566, 345, 35122
2022-07-14, 826, 10212254, 373568, 1051.49, 25.791, 351, 36988
