date, files, size, loc, avg-anomaly, avg-score, anomalies, expressions
2002-01-15, 518, 5032641, 169795, 1085.519, 27.504, 102, 9955
2002-12-07, 807, 8585162, 282515, 1059.273, 30.9, 223, 18630
2003-10-29, 1030, 11631496, 379741, 1065.608, 30.499, 275, 23661
2004-09-19, 1036, 12482927, 404868, 1076.99, 31.969, 309, 25558
2005-08-10, 1106, 14650878, 457648, 1077.383, 32.891, 351, 28146
2006-07-02, 1117, 15421252, 473699, 1076.535, 33.146, 368, 29198
2007-05-24, 1155, 16708683, 496980, 1179.325, 38.5, 427, 31045
2008-04-14, 1185, 17280574, 511611, 1175.332, 37.662, 437, 32559
2009-03-06, 1171, 17405572, 509364, 1180.65, 37.765, 428, 31969
2010-01-25, 1106, 16372592, 476565, 1191.265, 38.207, 395, 29477
2010-12-17, 1058, 13771741, 427603, 1195.465, 38.976, 380, 27871
2011-11-08, 762, 8950971, 286730, 1075.949, 35.846, 301, 22056
2012-09-29, 450, 4855219, 154300, 1103.038, 35.81, 176, 13381
2013-08-21, 381, 3906209, 124009, 1045.972, 29.579, 113, 10183
2014-07-12, 444, 4246240, 133054, 1047.361, 26.824, 105, 10780
2015-06-03, 460, 4567554, 143067, 1049.711, 29.136, 129, 11877
2016-04-24, 469, 4610746, 144370, 1041.68, 28.889, 132, 12184
2017-03-16, 481, 4950027, 154604, 1047.426, 28.866, 141, 13066
2018-02-05, 502, 5484934, 169366, 1034.475, 27.439, 145, 14183
2018-12-27, 506, 5590235, 172482, 1034.538, 27.447, 146, 14292
2019-11-18, 509, 5534841, 170315, 1034.2, 27.934, 149, 14190
2020-10-09, 516, 5876564, 179500, 1033.456, 27.544, 155, 15086
2022-07-23, 532, 6118071, 186885, 1033.342, 27.437, 160, 15701
