date, files, size, loc, avg-anomaly, avg-score, anomalies, expressions
2013-09-30, 397, 1755412, 61740, 1016.6, 17.667, 11, 2231
2014-02-11, 485, 3814575, 108267, 1013.915, 10.894, 24, 6951
2014-06-25, 557, 4516302, 138649, 1014.664, 13.628, 29, 7068
2014-11-05, 577, 4634023, 143043, 1014.395, 13.762, 31, 7418
2015-03-20, 636, 5013269, 156388, 1014.25, 13.263, 33, 8326
2015-08-01, 679, 5564474, 173620, 1042.671, 13.179, 35, 9135
2015-12-11, 689, 5730711, 180006, 1014.081, 12.596, 36, 9679
2016-04-25, 747, 6208028, 194938, 1014.702, 13.452, 43, 10455
2016-09-06, 756, 6324969, 199254, 1015.397, 13.369, 44, 10762
2017-01-18, 840, 7062426, 215386, 1015.171, 14.568, 53, 11315
2017-06-01, 1017, 8030036, 247617, 1040.577, 19.618, 89, 12855
2017-10-13, 1031, 8192134, 253825, 1040.681, 19.149, 89, 13280
2018-02-24, 1050, 8584976, 265119, 1039.48, 19.07, 93, 13856
2018-07-07, 1050, 8631917, 266895, 1039.48, 18.917, 93, 13999
2018-11-17, 1047, 8508819, 266758, 1037.829, 19.73, 100, 14192
2019-04-02, 1055, 8588975, 269468, 1037.749, 19.507, 100, 14411
2019-08-14, 1057, 8682323, 274551, 1037.496, 19.437, 101, 14629
2019-12-26, 1063, 8961416, 284910, 1037.816, 19.17, 100, 14827
2020-05-08, 1078, 9150709, 291947, 1037.866, 18.71, 100, 15305
2020-09-19, 1117, 10174723, 320565, 1035.13, 19.539, 109, 15653
2021-01-31, 1165, 10478140, 328319, 1035.353, 19.16, 108, 15942
2021-06-13, 1191, 10689051, 335534, 1035.343, 18.928, 109, 16316
2021-10-26, 1209, 10992329, 345526, 1035.483, 18.628, 110, 16825
2022-07-22, 1255, 11463100, 355002, 1035.483, 18.489, 110, 17010
