date, files, size, loc, avg-anomaly, avg-score, anomalies, expressions
3/26/2000,515,4810677,177298,1179.276,41.403,183,13163
3/15/2001,697,6834011,249198,1153.757,37.75,231,18082
3/5/2002,830,9580384,342008,1104.445,30.104,252,24649
2/22/2003,1009,14192398,478141,1083.763,29.614,320,30910
2/12/2004,1137,15828480,526099,1047.886,29.36,380,35645
1/31/2005,1291,19798062,653870,1042.997,26.671,441,46804
1/21/2006,1352,23429897,738755,1049.644,26.854,551,56587
1/10/2007,1391,24589905,776534,1045.136,25.235,571,62901
12/31/2007,1459,25741400,811770,1041.971,25.253,596,66207
12/9/2009,1499,43681659,1128009,1050.703,24.694,719,82294
11/28/2010,1546,40754227,1045138,1055.645,24.25,649,76349
11/17/2011,1578,41640322,1061298,1059.316,24.369,657,76642
11/6/2012,1623,45745809,1122582,1054.711,25.004,698,78544
10/26/2013,1673,48534795,1167060,1054.696,25.456,728,80396
10/16/2014,1751,52738198,1274838,1047.054,27.333,881,88246
10/5/2015,1735,57295564,1333451,1048.192,26.333,872,92660
9/24/2016,1773,60161554,1417605,1051.625,26.08,933,101025
9/13/2017,1809,72560113,1587409,1053.952,26.733,977,102458
9/3/2018,1828,76119064,1648568,1054.71,27.329,1040,105450
8/23/2019,1683,68888721,1369160,1059.032,25.446,759,85094
8/12/2020,1829,77555396,1678789,1054.845,27.712,1075,106989
7/22/2022,1666,81292273,1517591,1052.199,28.044,926,90314
