date, files, size, loc, avg-anomaly, avg-score, anomalies, expressions
2021-01-20, 222, 3298129, 71995, 1190.856, 40.521, 17, 1082
2021-02-09, 224, 3327510, 72693, 1180.856, 42.058, 18, 1091
2021-03-04, 236, 3474271, 74466, 1163.858, 45.331, 20, 1102
2021-03-24, 236, 3476375, 74530, 1163.858, 45.175, 20, 1106
2021-04-15, 237, 3483733, 74739, 1156.56, 46.841, 21, 1111
2021-05-05, 242, 3517268, 75701, 1156.56, 46.08, 21, 1133
2021-05-31, 257, 3853345, 85823, 1132.684, 49.852, 25, 1215
2021-06-17, 259, 4347390, 93126, 1132.684, 49.41, 25, 1225
2021-07-14, 259, 4347410, 93126, 1132.684, 49.41, 25, 1225
2021-07-19, 259, 4348594, 93148, 1132.684, 49.41, 25, 1225
2021-08-11, 259, 4348958, 93153, 1132.684, 49.41, 25, 1225
2021-10-08, 264, 4371499, 93910, 1132.684, 49.33, 25, 1227
2021-10-31, 269, 4590883, 98549, 1132.684, 49.091, 25, 1234
2021-11-12, 269, 4592418, 98593, 1132.684, 49.091, 25, 1234
2021-12-13, 271, 4596949, 98814, 1132.684, 49.091, 25, 1234
2022-01-22, 274, 4604017, 99113, 1132.684, 49.091, 25, 1234
2022-02-15, 274, 4604019, 99113, 1132.684, 49.091, 25, 1234
2022-03-04, 274, 4603285, 99101, 1132.684, 49.091, 25, 1234
2022-03-22, 274, 4603245, 99099, 1132.684, 49.091, 25, 1234
2022-04-05, 276, 4610024, 99418, 1132.684, 49.091, 25, 1234
2022-05-17, 281, 4627870, 99734, 1132.684, 48.761, 25, 1243
2022-06-30, 284, 4656126, 100445, 1127.873, 49.98, 26, 1254
