date, files, size, loc, avg-anomaly, avg-score, anomalies, expressions
2003-12-02, 91, 1910506, 62299, 1280.716, 34.487, 34, 2942
2004-09-30, 201, 3748231, 126965, 1229.478, 38.501, 91, 6790
2005-07-23, 255, 5053582, 170278, 1201.889, 37.328, 123, 9303
2006-05-14, 321, 6369670, 213105, 1227.04, 36.038, 142, 11410
2007-03-06, 375, 7531027, 252284, 1193.96, 35.293, 174, 13886
2007-12-27, 601, 11474260, 378881, 1149.707, 33.708, 247, 20239
2008-10-17, 696, 13938688, 450497, 1095.86, 31.926, 289, 24166
2009-08-09, 883, 15930166, 515548, 1077.369, 30.04, 312, 27727
2010-05-31, 1074, 18167780, 587054, 1071.71, 30.041, 345, 30457
2011-03-23, 1274, 20648148, 669723, 1067.517, 31.18, 416, 34814
2012-01-12, 1378, 22290418, 721519, 1062.683, 31.646, 458, 37391
2012-11-03, 2156, 25911664, 848603, 1055.813, 31.171, 520, 43058
2013-08-26, 2540, 30682241, 999823, 1061.455, 32.768, 638, 49903
2014-06-17, 2582, 31910910, 1032721, 1060.885, 32.922, 672, 52109
2015-04-09, 2818, 35785762, 1151119, 1059.862, 31.666, 711, 57484
2016-01-29, 2983, 38070762, 1222609, 1057.794, 30.936, 724, 60015
2016-11-19, 3346, 42658954, 1367569, 1061.657, 31.416, 814, 66525
2017-09-11, 3557, 44688305, 1431193, 1064.96, 30.513, 823, 69847
2018-07-04, 4030, 51552467, 1658677, 1058.437, 29.628, 884, 77301
2019-04-25, 4173, 57919705, 1852516, 1066.219, 29.201, 908, 81182
2020-02-15, 4543, 62066189, 1972066, 1066.33, 28.48, 928, 85526
2020-12-06, 4906, 60379294, 1884365, 1058.268, 29.865, 1004, 87162
2022-07-21, 5666, 66218026, 2064650, 1054.327, 28.995, 1060, 95176
