date, files, size, loc, avg-anomaly, avg-score, anomalies, expressions
2003-04-10, 1180, 9595899, 265392, 1041.476, 11.789, 101, 25274
2003-11-13, 1492, 10252072, 293798, 1038.693, 12.268, 112, 26819
2004-06-14, 1576, 10563762, 306477, 1046.036, 12.487, 117, 27797
2005-01-28, 1793, 10875927, 318772, 1045.527, 12.5, 119, 28403
2005-09-06, 1917, 11547091, 339585, 1045.258, 12.308, 121, 29855
2006-04-15, 1953, 11658336, 344359, 1045.258, 12.233, 121, 30219
2006-11-15, 1959, 11698201, 345719, 1045.32, 12.198, 121, 30375
2007-06-25, 1960, 11739957, 347292, 1044.232, 12.515, 126, 30499
2008-01-23, 1962, 11766375, 348407, 1044.478, 12.471, 126, 30637
2008-09-11, 1998, 12120723, 360792, 1043.272, 12.683, 134, 31965
2009-04-19, 2009, 12310828, 367157, 1040.851, 13.266, 146, 32726
2009-11-25, 2045, 12649397, 379347, 1040.999, 13.0, 146, 33864
2010-07-04, 2173, 13998130, 422931, 1039.868, 14.19, 174, 37927
2011-02-09, 2059, 12785827, 383747, 1040.767, 13.011, 147, 34134
2011-09-17, 2286, 15578373, 472928, 1079.156, 15.174, 208, 43373
2012-04-25, 2412, 17198264, 521489, 1050.899, 14.503, 225, 48094
2012-12-01, 2742, 20606837, 627465, 1044.93, 14.51, 284, 57485
2013-07-09, 2599, 19207553, 582346, 1047.843, 14.321, 255, 53729
2014-02-14, 2709, 20256900, 617067, 1041.844, 14.47, 279, 56577
2014-09-22, 2926, 22978036, 699447, 1042.801, 14.22, 308, 63648
2015-05-01, 3067, 24623582, 748398, 1035.377, 13.53, 314, 68655
2015-12-07, 3108, 24833125, 752875, 1036.135, 13.129, 308, 69814
2016-07-14, 3145, 25469614, 769702, 1035.836, 13.128, 316, 71395
2017-09-28, 3214, 26914311, 808099, 1038.509, 12.771, 321, 75358
