date, files, size, loc, avg-anomaly, avg-score, anomalies, expressions
2003-04-25, 34, 326841, 10860, 1027.5, 14.767, 4, 878
2004-02-26, 34, 533698, 16947, 1276.075, 13.144, 4, 1315
2004-12-25, 54, 1155717, 35624, 1023.608, 19.209, 19, 2816
2005-10-29, 52, 1622466, 50181, 1024.78, 20.559, 30, 4086
2006-08-31, 56, 1940826, 59339, 1021.046, 22.194, 39, 4839
2007-07-02, 63, 2498101, 74872, 1022.235, 24.184, 54, 5962
2008-05-02, 69, 3108264, 92301, 1062.534, 26.416, 73, 7500
2009-03-03, 73, 3441447, 101077, 1054.747, 28.731, 90, 8288
2010-01-03, 90, 3782965, 111529, 1059.183, 31.301, 108, 8983
2010-11-04, 123, 3892374, 115106, 1058.197, 30.8, 108, 9168
2011-09-06, 139, 4360077, 129120, 1053.098, 31.094, 122, 10130
2012-07-07, 143, 4732358, 140362, 1049.531, 31.321, 134, 10996
2013-05-09, 145, 4779860, 141632, 1049.283, 31.406, 136, 11127
2014-03-10, 182, 5584910, 166794, 1048.079, 29.942, 143, 12412
2015-01-10, 300, 6633874, 199912, 1040.412, 28.758, 146, 13181
2015-11-11, 391, 11277193, 253162, 1038.658, 27.933, 158, 14735
2016-09-12, 421, 12115230, 276927, 1050.625, 28.336, 162, 15035
2017-07-14, 505, 13707367, 323523, 1048.45, 27.238, 172, 16674
2018-05-15, 641, 15145291, 365198, 1054.049, 26.09, 174, 17882
2019-03-17, 951, 16297057, 402250, 1053.43, 25.565, 181, 19014
2020-01-16, 1092, 17293002, 433672, 1064.312, 24.979, 181, 19701
2020-11-17, 1145, 17826418, 450056, 1058.977, 24.483, 181, 20123
2022-07-21, 1158, 17693675, 447292, 1056.877, 25.765, 191, 19861
